calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 5.600000 229.771624 48.062943 0.694512 12.056352 6.207692 0.019497 5.982647 0.009432 0.001684 4.502949 0.080410 0.000000 0.000000 
1 5.800000 234.384841 51.905524 0.801725 13.037368 7.373083 0.012231 7.284129 0.016464 0.002421 6.003933 0.107213 0.000000 0.000000 
1 6.000000 242.735926 60.533861 0.801725 14.124447 8.313719 -0.008660 8.921320 0.036683 0.003158 12.007865 -0.000000 0.000000 0.000000 
1 6.200000 250.043126 68.083656 0.828529 15.503953 8.945834 -0.033113 10.856877 0.059113 0.003895 10.506882 0.026803 0.000000 0.000000 
1 6.400000 258.159972 76.932703 0.828529 17.451070 9.025514 -0.067582 13.328320 0.090730 0.004632 12.007865 0.000000 0.000000 0.000000 
2 6.400000 258.159972 76.932703 0.828529 17.451070 9.025514 -0.067582 13.328320 0.090730 0.004632 0.000000 0.000000 80.000000 -30.000000 
3 6.400000 256.234067 75.036000 0.817021 9.392130 5.975957 0.008028 7.548405 0.002192 0.000956 0.000000 0.000000 0.000000 0.000000 
1 6.600000 263.424941 82.696673 0.790217 10.470028 7.121758 0.000891 8.799840 0.009260 0.001693 10.506882 -0.026803 0.000000 0.000000 
1 6.800000 270.818538 90.161878 0.817021 11.638314 8.117277 -0.012078 10.249229 0.021435 0.002430 10.506882 0.026803 0.000000 0.000000 
1 7.000000 273.900341 93.445024 0.897430 12.652310 9.110624 -0.020632 11.801173 0.028259 0.003167 4.502949 0.080410 0.000000 0.000000 
1 7.200000 277.644518 98.138460 1.004644 13.607700 9.895601 -0.036680 13.662304 0.038458 0.003904 6.003933 0.107213 0.000000 0.000000 
2 7.200000 277.644518 98.138460 1.004644 13.607700 9.895601 -0.036680 13.662304 0.038458 0.003904 0.000000 0.000000 80.000000 -10.000000 
3 7.200000 278.479012 99.496129 1.020884 7.961761 5.944071 0.023301 8.683886 0.008627 0.000936 0.000000 0.000000 0.000000 0.000000 
1 7.400000 281.616741 104.614905 1.128097 8.160628 6.838783 0.018222 10.621568 0.011035 0.001673 6.003933 0.107213 0.000000 0.000000 
2 7.400000 281.616741 104.614905 1.128097 8.160628 6.838783 0.018222 10.621568 0.011035 0.001673 0.000000 0.000000 80.000000 -15.000000 
3 7.400000 281.194703 103.620057 1.107115 5.816564 4.349792 0.027500 7.583044 0.004493 0.000957 0.000000 0.000000 0.000000 0.000000 
1 7.600000 285.222538 111.675041 1.160721 5.794972 5.228081 0.019593 9.571538 0.007930 0.001694 9.005899 0.053607 0.000000 0.000000 
1 7.800000 290.009813 122.687344 1.160721 5.936273 5.990277 0.000935 11.630185 0.016041 0.002431 12.007865 -0.000000 0.000000 0.000000 
1 8.000000 294.198678 132.323110 1.187524 6.472139 6.546144 -0.022757 13.781812 0.025594 0.003168 10.506882 0.026803 0.000000 0.000000 
1 8.200000 298.127799 142.067676 1.160721 7.572244 6.921362 -0.053287 15.995716 0.038866 0.003905 10.506882 -0.026803 0.000000 0.000000 
2 8.200000 298.127799 142.067676 1.160721 7.572244 6.921362 -0.053287 15.995716 0.038866 0.003905 0.000000 0.000000 80.000000 -5.000000 
3 8.200000 297.663725 143.841002 1.214996 4.579510 4.646226 0.011321 10.438863 0.008316 0.000852 0.000000 0.000000 0.000000 0.000000 
1 8.400000 300.277993 150.875870 1.295406 4.631341 5.201508 0.005166 12.616706 0.010055 0.001589 7.504916 0.080410 0.000000 0.000000 
2 8.400000 300.277993 150.875870 1.295406 4.631341 5.201508 0.005166 12.616706 0.010055 0.001589 0.000000 0.000000 80.000000 -10.000000 
3 8.400000 299.605765 149.462097 1.293594 3.516826 3.456276 0.017683 9.028332 0.007479 0.000874 0.000000 0.000000 0.000000 0.000000 
1 8.600000 301.248836 155.236828 1.400807 3.404293 3.810093 0.012513 11.289530 0.008366 0.001611 6.003933 0.107213 0.000000 0.000000 
1 8.800000 302.010608 159.674875 1.481217 3.342955 3.980635 0.005288 13.589285 0.009015 0.002348 4.502949 0.080410 0.000000 0.000000 
1 9.000000 302.547717 165.654734 1.588430 3.364786 3.886702 -0.008805 15.897934 0.008767 0.003085 6.003933 0.107213 0.000000 0.000000 
1 9.200000 302.441851 171.657734 1.695643 3.615010 3.569236 -0.027182 18.161962 0.006460 0.003822 6.003933 0.107213 0.000000 0.000000 
1 9.400000 301.694226 177.614936 1.749250 4.142476 3.180350 -0.049764 20.390958 0.002387 0.004559 6.003933 0.053607 0.000000 0.000000 
1 9.600000 300.095610 186.477816 1.802856 5.487220 2.827954 -0.089719 22.589628 -0.007055 0.005296 9.005899 0.053607 0.000000 0.000000 
1 9.800000 298.024409 195.242310 1.856463 7.616685 2.607832 -0.135480 24.787259 -0.020495 0.006033 9.005899 0.053607 0.000000 0.000000 
2 9.800000 298.024409 195.242310 1.856463 7.616685 2.607832 -0.135480 24.787259 -0.020495 0.006033 0.000000 0.000000 80.000000 0.000000 
3 9.800000 298.069568 196.428124 1.856537 3.112004 0.333670 0.013635 14.797887 0.042854 0.001081 0.000000 0.000000 0.000000 0.000000 
1 10.000000 295.531089 205.068861 1.910144 3.214451 -0.769096 0.004458 16.605819 0.039614 0.001818 9.005899 0.053607 0.000000 0.000000 
2 10.000000 295.531089 205.068861 1.910144 3.214451 -0.769096 0.004458 16.605819 0.039614 0.001818 0.000000 0.000000 80.000000 -5.000000 
3 10.000000 295.645930 202.794991 1.910222 2.844617 -0.452195 0.020395 11.590217 0.036921 0.001106 0.000000 0.000000 0.000000 0.000000 
1 10.200000 293.646945 208.456375 1.963829 2.991420 -1.507458 0.014263 13.398496 0.034379 0.001843 6.003933 0.053607 0.000000 0.000000 
1 10.400000 290.772625 215.389054 2.044239 3.363581 -2.681686 0.001956 15.015547 0.028074 0.002580 7.504916 0.080410 0.000000 0.000000 
2 10.400000 290.772625 215.389054 2.044239 3.363581 -2.681686 0.001956 15.015547 0.028074 0.002580 0.000000 0.000000 80.000000 35.000000 
3 10.400000 290.239289 216.743091 2.049396 2.880859 -1.663605 0.013048 11.573253 0.044788 0.001083 0.000000 0.000000 0.000000 0.000000 
1 10.600000 286.783001 223.404760 2.129806 3.408721 -3.012271 0.006161 12.895040 0.040480 0.001820 7.504916 0.080410 0.000000 0.000000 
2 10.600000 286.783001 223.404760 2.129806 3.408721 -3.012271 0.006161 12.895040 0.040480 0.001820 0.000000 0.000000 80.000000 30.000000 
3 10.600000 286.910267 223.222003 2.125124 2.922788 -1.991722 0.011373 10.314178 0.046699 0.001090 0.000000 0.000000 0.000000 0.000000 
1 10.800000 282.169818 230.879310 2.178730 3.568220 -3.437584 0.003316 11.419823 0.041092 0.001827 9.005899 0.053607 0.000000 0.000000 
2 10.800000 282.169818 230.879310 2.178730 3.568220 -3.437584 0.003316 11.419823 0.041092 0.001827 0.000000 0.000000 80.000000 25.000000 
3 10.800000 282.986140 229.137342 2.183429 3.005476 -2.406883 0.008121 9.258949 0.045201 0.001176 0.000000 0.000000 0.000000 0.000000 
1 11.000000 277.807535 236.505399 2.237036 3.832238 -3.848743 -0.000203 10.220623 0.038658 0.001913 9.005899 0.053607 0.000000 0.000000 
1 11.200000 274.096900 241.225398 2.290642 4.877601 -5.133988 -0.008837 11.251255 0.031087 0.002650 6.003933 0.053607 0.000000 0.000000 
1 11.400000 268.159590 247.996998 2.344249 6.229530 -6.326579 -0.025911 12.148193 0.014417 0.003387 9.005899 0.053607 0.000000 0.000000 
1 11.600000 263.965184 252.292829 2.397856 7.747945 -7.361480 -0.039678 13.146358 -0.000547 0.004124 6.003933 0.053607 0.000000 0.000000 
2 11.600000 263.965184 252.292829 2.397856 7.747945 -7.361480 -0.039678 13.146358 -0.000547 0.004124 0.000000 0.000000 80.000000 -25.000000 
3 11.600000 263.077041 253.994116 2.384090 5.378125 -4.737755 -0.001083 8.599724 0.021276 0.000957 0.000000 0.000000 0.000000 0.000000 
1 11.800000 257.624314 259.150814 2.464499 6.813464 -5.933757 -0.005583 9.290828 0.015678 0.001694 7.504916 0.080410 0.000000 0.000000 
2 11.800000 257.624314 259.150814 2.464499 6.813464 -5.933757 -0.005583 9.290828 0.015678 0.001694 0.000000 0.000000 80.000000 -30.000000 
3 11.800000 258.683310 258.072249 2.448128 5.221320 -3.998195 0.004099 6.621806 0.018932 0.000921 0.000000 0.000000 0.000000 0.000000 
1 12.000000 252.911760 262.869432 2.528538 6.749198 -5.168354 0.000124 7.189221 0.013280 0.001658 7.504916 0.080410 0.000000 0.000000 
2 12.000000 252.911760 262.869432 2.528538 6.749198 -5.168354 0.000124 7.189221 0.013280 0.001658 0.000000 0.000000 80.000000 35.000000 
3 12.000000 252.892159 262.425761 2.563736 5.310948 -3.901394 -0.005643 5.947258 0.027994 0.000897 0.000000 0.000000 0.000000 0.000000 
1 12.200000 245.348501 267.345053 2.617342 7.112190 -4.953619 -0.009687 6.144399 0.020999 0.001634 9.005899 0.053607 0.000000 0.000000 
2 12.200000 245.348501 267.345053 2.617342 7.112190 -4.953619 -0.009687 6.144399 0.020999 0.001634 0.000000 0.000000 80.000000 35.000000 
3 12.200000 246.552755 266.530757 2.610078 5.672462 -3.853616 -0.011491 5.208318 0.030309 0.000974 0.000000 0.000000 0.000000 0.000000 
1 12.400000 240.083215 270.334546 2.690488 7.630059 -4.760454 -0.014679 5.282621 0.023728 0.001711 7.504916 0.080410 0.000000 0.000000 
1 12.600000 233.329046 273.606390 2.717291 9.656632 -5.564340 -0.019966 5.429812 0.012024 0.002448 7.504916 0.026803 0.000000 0.000000 
1 12.800000 225.121732 277.313979 2.770898 11.820905 -6.149330 -0.027954 5.703770 -0.008527 0.003185 9.005899 0.053607 0.000000 0.000000 
2 12.800000 225.121732 277.313979 2.770898 11.820905 -6.149330 -0.027954 5.703770 -0.008527 0.003185 0.000000 0.000000 80.000000 -20.000000 
3 12.800000 226.136932 277.667790 2.707165 8.291022 -4.120683 -0.007813 3.999302 0.013193 0.001012 0.000000 0.000000 0.000000 0.000000 
1 13.000000 219.329139 280.826544 2.787575 10.372011 -4.833026 -0.010446 4.141478 0.006068 0.001749 7.504916 0.080410 0.000000 0.000000 
2 13.000000 219.329139 280.826544 2.787575 10.372011 -4.833026 -0.010446 4.141478 0.006068 0.001749 0.000000 0.000000 80.000000 -25.000000 
3 13.000000 221.953111 279.614206 2.762594 7.709817 -3.364503 -0.001888 3.175121 0.012347 0.000947 0.000000 0.000000 0.000000 0.000000 
1 13.200000 213.586309 282.946299 2.816201 9.803595 -4.060748 -0.004616 3.269592 0.004262 0.001684 9.005899 0.053607 0.000000 0.000000 
1 13.400000 206.475210 285.345470 2.896611 12.001272 -4.556401 -0.007682 3.432789 -0.008003 0.002422 7.504916 0.080410 0.000000 0.000000 
1 13.600000 199.194378 287.165703 2.923414 14.235586 -4.946704 -0.011616 3.788346 -0.025745 0.003159 7.504916 0.026803 0.000000 0.000000 
2 13.600000 199.194378 287.165703 2.923414 14.235586 -4.946704 -0.011616 3.788346 -0.025745 0.003159 0.000000 0.000000 80.000000 35.000000 
3 13.600000 198.204240 287.972366 2.893174 10.286449 -3.466395 -0.019550 2.690960 0.012420 0.000860 0.000000 0.000000 0.000000 0.000000 
1 13.800000 190.929707 289.817612 2.973584 12.583495 -3.710385 -0.020629 2.618872 0.006057 0.001597 7.504916 0.080410 0.000000 0.000000 
2 13.800000 190.929707 289.817612 2.973584 12.583495 -3.710385 -0.020629 2.618872 0.006057 0.001597 0.000000 0.000000 80.000000 -25.000000 
3 13.800000 189.214689 290.463039 2.971962 9.088195 -2.566563 -0.008642 2.138118 0.011620 0.000710 0.000000 0.000000 0.000000 0.000000 
2 13.800000 189.214689 290.463039 2.971962 9.088195 -2.566563 -0.008642 2.138118 0.011620 0.000710 0.000000 0.000000 80.000000 30.000000 
3 13.800000 190.096186 290.304972 2.967449 7.307879 -2.068012 -0.010589 1.958504 0.014633 0.000556 0.000000 0.000000 0.000000 0.000000 
1 14.000000 181.226498 291.865373 3.021056 9.609297 -2.259705 -0.011191 1.774722 0.009661 0.001293 9.005899 0.053607 0.000000 0.000000 
2 14.000000 181.226498 291.865373 3.021056 9.609297 -2.259705 -0.011191 1.774722 0.009661 0.001293 0.000000 0.000000 80.000000 -30.000000 
3 14.000000 182.240237 291.550338 3.021374 7.482959 -1.653353 -0.004797 1.571327 0.011792 0.000761 0.000000 0.000000 0.000000 0.000000 
1 14.200000 174.789489 292.450397 3.048177 9.781187 -1.836436 -0.005330 1.457706 0.006105 0.001498 7.504916 0.026803 0.000000 0.000000 
1 14.400000 167.317295 293.150453 3.128587 12.093101 -1.825996 -0.005476 1.450823 -0.005136 0.002235 7.504916 0.080410 0.000000 0.000000 
1 14.600000 159.813014 293.248056 3.208997 14.388901 -1.640733 -0.004346 1.663538 -0.021872 0.002972 7.504916 0.080410 0.000000 0.000000 
1 14.800000 150.827566 292.641480 3.262603 16.660534 -1.377579 -0.001115 2.325822 -0.048442 0.003709 9.005899 0.053607 0.000000 0.000000 
1 15.000000 140.397519 291.373135 3.289407 18.927083 -1.163916 0.004624 3.783369 -0.086987 0.004446 10.506882 0.026803 0.000000 0.000000 
1 15.200000 128.520595 289.604660 3.289407 21.218463 -1.129378 0.012487 6.526939 -0.139792 0.005183 12.007865 0.000000 0.000000 0.000000 
1 15.400000 116.643671 287.836185 3.289407 23.539957 -1.297090 0.021653 10.628800 -0.201351 0.005920 12.007865 0.000000 0.000000 0.000000 
1 15.600000 112.189824 287.173007 3.369817 25.783163 -1.114296 0.027684 12.627325 -0.227317 0.006657 4.502949 0.080410 0.000000 0.000000 
1 15.800000 106.341575 285.814631 3.477030 27.979398 -1.076686 0.040841 15.669203 -0.265058 0.007394 6.003933 0.107213 0.000000 0.000000 
1 16.000000 102.089590 284.332342 3.557439 30.086530 -0.928380 0.054291 18.355476 -0.295516 0.008131 4.502949 0.080410 0.000000 0.000000 
1 16.200000 96.597345 281.906965 3.664652 32.219842 -1.223719 0.078678 22.226229 -0.337807 0.008868 6.003933 0.107213 0.000000 0.000000 
1 16.400000 87.495289 276.658429 3.691456 35.031252 -3.189702 0.127369 29.621259 -0.417248 0.009605 10.506882 0.026803 0.000000 0.000000 
1 16.600000 78.537162 271.167842 3.718259 38.429947 -6.130082 0.182393 38.403512 -0.501847 0.010342 10.506882 0.026803 0.000000 0.000000 
1 16.800000 68.471150 264.620764 3.718259 42.885702 -10.876879 0.250104 50.241702 -0.605951 0.011079 12.007865 0.000000 0.000000 0.000000 
1 17.000000 60.921641 259.710456 3.718259 47.233168 -15.094768 0.304505 60.709498 -0.689592 0.011816 9.005899 -0.000000 0.000000 0.000000 
2 17.000000 60.921641 259.710456 3.718259 47.233168 -15.094768 0.304505 60.709498 -0.689592 0.011816 0.000000 0.000000 80.000000 5.000000 
3 17.000000 62.927738 263.453544 3.680484 17.449568 3.946444 -0.055732 9.163140 0.026752 0.001459 0.000000 0.000000 0.000000 0.000000 
1 17.200000 52.621652 257.291286 3.680484 18.520670 5.611014 -0.046740 9.375378 0.011715 0.002196 12.007865 0.000000 0.000000 0.000000 
1 17.400000 42.315566 251.129029 3.680484 19.730572 7.043448 -0.033208 9.975852 -0.010918 0.002933 12.007865 0.000000 0.000000 0.000000 
1 17.600000 33.297741 245.737053 3.707288 21.096797 8.175841 -0.016689 11.064330 -0.036935 0.003670 10.506882 0.026803 0.000000 0.000000 
