calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 5.600000 228.506781 47.435502 0.688693 11.913582 6.009257 0.019449 5.717148 0.008900 0.001615 4.398230 0.078540 0.000000 0.000000 
1 5.800000 233.034480 51.162435 0.793412 12.864042 7.126649 0.012698 6.937861 0.015543 0.002318 5.864306 0.104720 0.000000 0.000000 
1 6.000000 241.261132 59.522013 0.793412 13.898573 8.044107 -0.006681 8.470664 0.034615 0.003021 11.728613 -0.000000 0.000000 0.000000 
1 6.200000 248.459452 66.836645 0.819592 15.195940 8.678867 -0.029343 10.281646 0.055778 0.003725 10.262536 0.026180 0.000000 0.000000 
1 6.400000 256.464456 75.408708 0.819592 16.999847 8.810191 -0.061270 12.591154 0.085592 0.004428 11.728613 0.000000 0.000000 0.000000 
2 6.400000 256.464456 75.408708 0.819592 16.999847 8.810191 -0.061270 12.591154 0.085592 0.004428 0.000000 0.000000 80.000000 -30.000000 
3 6.400000 255.172076 74.256037 0.814282 9.348952 5.857385 0.008530 7.241900 0.002437 0.000912 0.000000 0.000000 0.000000 0.000000 
1 6.600000 262.216186 81.719290 0.788102 10.369623 6.955861 0.001897 8.433384 0.009035 0.001615 10.262536 -0.026180 0.000000 0.000000 
1 6.800000 269.453249 88.995592 0.814282 11.470097 7.917569 -0.010154 9.806939 0.020409 0.002318 10.262536 0.026180 0.000000 0.000000 
1 7.000000 272.472153 92.194129 0.892822 12.434311 8.874896 -0.018094 11.274729 0.026803 0.003021 4.398230 0.078540 0.000000 0.000000 
1 7.200000 276.150345 96.761513 0.997541 13.334566 9.642697 -0.032978 13.032156 0.036411 0.003724 5.864306 0.104720 0.000000 0.000000 
2 7.200000 276.150345 96.761513 0.997541 13.334566 9.642697 -0.032978 13.032156 0.036411 0.003724 0.000000 0.000000 80.000000 -10.000000 
3 7.200000 277.482972 98.644613 1.015645 7.931782 5.859745 0.022877 8.385741 0.008484 0.000897 0.000000 0.000000 0.000000 0.000000 
1 7.400000 280.573886 103.628220 1.120364 8.133154 6.725479 0.018141 10.221987 0.010774 0.001600 5.864306 0.104720 0.000000 0.000000 
2 7.400000 280.573886 103.628220 1.120364 8.133154 6.725479 0.018141 10.221987 0.010774 0.001600 0.000000 0.000000 80.000000 -15.000000 
3 7.400000 280.407368 102.994809 1.101507 5.826720 4.319718 0.026925 7.351350 0.004619 0.000917 0.000000 0.000000 0.000000 0.000000 
1 7.600000 284.385592 110.840281 1.153866 5.814551 5.168634 0.019547 9.239300 0.007886 0.001620 8.796459 0.052360 0.000000 0.000000 
1 7.800000 289.135155 121.564180 1.153866 5.943266 5.910802 0.002169 11.194171 0.015583 0.002324 11.728613 -0.000000 0.000000 0.000000 
1 8.000000 293.291023 130.947591 1.180046 6.431193 6.461776 -0.019879 13.236610 0.024665 0.003027 10.262536 0.026180 0.000000 0.000000 
1 8.200000 297.199837 140.436575 1.153866 7.432347 6.846127 -0.048280 15.337298 0.037243 0.003730 10.262536 -0.026180 0.000000 0.000000 
2 8.200000 297.199837 140.436575 1.153866 7.432347 6.846127 -0.048280 15.337298 0.037243 0.003730 0.000000 0.000000 80.000000 -5.000000 
3 8.200000 297.025219 142.749696 1.210815 4.595710 4.628145 0.011554 10.125250 0.008406 0.000823 0.000000 0.000000 0.000000 0.000000 
1 8.400000 299.607395 149.610227 1.289355 4.643917 5.168991 0.005755 12.197797 0.010082 0.001527 7.330383 0.078540 0.000000 0.000000 
2 8.400000 299.607395 149.610227 1.289355 4.643917 5.168991 0.005755 12.197797 0.010082 0.001527 0.000000 0.000000 80.000000 -10.000000 
3 8.400000 299.086509 148.594166 1.289291 3.542113 3.466346 0.017604 8.793139 0.007635 0.000842 0.000000 0.000000 0.000000 0.000000 
1 8.600000 300.715624 154.227643 1.394011 3.435125 3.817151 0.012742 10.946585 0.008504 0.001545 5.864306 0.104720 0.000000 0.000000 
